time,posicao,pontos,prob_campeao,prob_libertadores,prob_sulamericana,prob_rebaixamento
Palmeiras,1,44,99.5,100.0,0.0,0.0
Flamengo,2,38,93.8,98.5,1.5,0.0
Athletico Paranaense,3,36,67.0,87.8,12.2,0.0
Fluminense,4,33,47.7,75.8,24.1,0.1
Red Bull Bragantino,5,31,29.8,58.8,40.9,0.3
Bahia,6,31,20.1,47.4,51.8,0.8
Botafogo,7,29,20.2,45.9,53.2,0.9
Atlético Mineiro,8,28,4.4,16.9,79.0,4.2
Corinthians,9,28,4.9,18.3,77.8,4.0
Coritiba SAF,10,27,3.4,13.1,80.5,6.4
Cruzeiro,11,27,2.0,9.2,80.6,10.2
São Paulo,12,26,3.8,13.7,79.2,7.1
Vitória,13,26,2.8,10.6,79.5,9.9
Santos FC,14,22,0.0,0.0,0.0,100.0
Grêmio,15,22,0.2,1.4,60.5,38.1
Internacional,16,21,0.0,0.4,42.1,57.5
Vasco da Gama Saf,17,21,0.1,0.7,47.9,51.4
Remo,18,21,0.1,0.3,38.2,61.5
Mirassol,19,20,0.2,1.1,51.0,47.8
Chapecoense,20,10,0.0,0.0,0.0,100.0
